No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
92,M40,S3_HOLDING_CYL_NOT_REV,0,2024-01-29T09:59:37.422792,Alarm,1
93,M43,S6_HOLDING_CYL_NOT_REV,0,2024-01-29T09:59:37.670725,Alarm,1
94,M46,S7_HOLDING_CYL_NOT_REV,0,2024-01-29T09:59:37.731057,Alarm,1
95,M75,S1_LOW_LEVEL_FLG_TR1,0,2024-01-29T09:59:37.950679,Alarm,1
96,M76,S1_LOW_LEVEL_FLG_TR2,0,2024-01-29T09:59:38.182780,Alarm,1
97,M77,S1_LOW_LEVEL_FLG_TR3,0,2024-01-29T09:59:38.428323,Alarm,1
98,M78,S1_LOW_LEVEL_FLG_TR4,0,2024-01-29T09:59:38.660669,Alarm,1
99,M96,S4_LL_FLG_TR1,0,2024-01-29T09:59:38.860965,Alarm,1
100,M97,S4_LL_FLG_TR2,0,2024-01-29T09:59:38.915221,Alarm,1
101,M98,S4_LL_FLG_TR3,0,2024-01-29T09:59:39.166796,Alarm,1
102,M99,S4_LL_FLG_TR4,0,2024-01-29T09:59:39.415972,Alarm,1
103,M106,FRONT_DOOR_OPEN-X140,0,2024-01-29T09:59:39.634881,Alarm,1
104,M107,BACK_DOOR_OPEN-X141,0,2024-01-29T09:59:39.904825,Alarm,1
105,M108,LEFT_DOOR_OPEN-X142,0,2024-01-29T09:59:40.133959,Alarm,1
106,M109,RIGHT_DOOR_OPEN-X143,0,2024-01-29T09:59:40.373993,Alarm,1
107,M111,S12_JOB_NOT_ECEJTED_TR1,0,2024-01-29T09:59:40.617136,Alarm,1
108,M112,S12_JOB_NOT_ECEJTED_TR2,0,2024-01-29T09:59:40.725411,Alarm,1
109,M113,S12_JOB_NOT_ECEJTED_TR3,0,2024-01-29T09:59:40.870670,Alarm,1
110,M114,S12_JOB_NOT_ECEJTED_TR4,0,2024-01-29T09:59:40.960630,Alarm,1
111,M150,S1_LOW_LEVEL_FLG_TR1,0,2024-01-29T09:59:41.117393,Alarm,1
112,M151,S1_LOW_LEVEL_FLG_TR2,0,2024-01-29T09:59:41.366375,Alarm,1
113,M148,S1_LOW_LEVEL_FLG_TR3,0,2024-01-29T09:59:41.605020,Alarm,1
114,M149,S1_LOW_LEVEL_FLG_TR4,0,2024-01-29T09:59:41.825774,Alarm,1
